asins,brand,categories,id,name,Price
B07WSK851D,BeautyNeeds,Skin Care,107, BeautyNeeds 1 pc Natural Herb Nails Repair Cream Nail Foot Protector Skin Care Cream Nail Fungus Treatment Herb Nail Care Tools ,794
B07WQZ1121,BeautyNeeds,Skin Care,108, BeautyNeeds 15g Nail Foot Protector Skin Care Cream Nail Fungus Onychomycosis Treatment Herb Nails Repair Fingernail Tools High Quality HOT ,938
B07ZHPFZPM,BeautyNeeds,Skin Care,109, BeautyNeeds 24tips/lot Removable Exercise False Nail Display Stand Art White Grey Color Swatches Wholesale Training Manicure Fake Nail Tools ,598
B07ZHNSVQB,BeautyNeeds,Skin Care,110, BeautyNeeds High Quality Stainless Steel Nail Clipper Cutter Trimmer Ear Pick Grooming Kit Manicure Set Pedicure Toe Nail Art Tools Set Kits ,977
B07Y7K2L72,BeautyNeeds,Skin Care,111, BeautyNeeds Reusable Spa Gel Socks & Gloves Moisturizing Whitening Exfoliating Velvet Smooth Beauty Hand Silicone Socks ,1228
B071D2V1PD,BEGATES,Skin Care,112, BEGATES WOMENS FACE CARE CRÈME ,350
B075R7SD9F,Bekind,Skin Care,113," Bekind Rose Flower Powder, 40 g (Pack of 4) ",292
B07SR8KDXK,Creamix,Grocery & Gourmet Foods,114, Belgian Waffle Mix Irish Cream 400G ,105
B07SN9PG5V,Creamix,Grocery & Gourmet Foods,115, Belgian Waffle PREMIX Butterscotch 4000G ,550
B075TYKWTD,Bhagabat,Grocery & Gourmet Foods,116," Bhagabat All Purpose Rasoi Rani Gravy and Masala, 50 Grams (4 Pack) & Get 50 GMS Pack Free ",180
B07Z66TX6K,Bhavani Foods,Grocery & Gourmet Foods,117, Bhavani Foods Premium Gangotri Khakhra  Punjabi Super Quality (Pack of 2) 200 GMS Each ,120
B07K6V84FL,Bhavani's,Grocery & Gourmet Foods,118," Bhavanis Organic Instant Bengal Gram Powder, 100 Gram (Pack of 1) ",126
B07PTS9YV2,BIOAYURVEDA,Skin Care,119, BIOAYURVEDA Homme Youth Clair Anti-Marks Face Cream 20 g for Men ,599
B01BGLWC1G,Biotherm,Skin Care,120," Biotherm Aquasource Everplump Plumping Smoothing Moisturizing Treatment, 1.69 Ounce ",6497.31
B06XSW3YRP,Biotherm,Skin Care,121," Biotherm Biovergetures Stretch Marks Prevention and Reduction Cream Gel for Women, 5.07 Ounce ",9846
B01MYT6VVI,Biotique,Skin Care,122," Biotique Combo Body Wash, Sunscreen and Skin Lotion ",574
