Date,id,sales,asins,brand,categories,name,Price
2017-01-04,4,1540.0115436885335,B00OOFIDHY,Innisfree,Skin Care, [Innisfree] Soybean Energy Essence Light 150ml ,3089.0
2017-01-11,4,924.1120320510497,B00OOFIDHY,Innisfree,Skin Care, [Innisfree] Soybean Energy Essence Light 150ml ,3089.0
2017-01-18,4,999.2417935663759,B00OOFIDHY,Innisfree,Skin Care, [Innisfree] Soybean Energy Essence Light 150ml ,3089.0
2017-01-25,4,1482.3768113731346,B00OOFIDHY,Innisfree,Skin Care, [Innisfree] Soybean Energy Essence Light 150ml ,3089.0
2017-02-01,4,1832.8195189866049,B00OOFIDHY,Innisfree,Skin Care, [Innisfree] Soybean Energy Essence Light 150ml ,3089.0
2017-02-08,4,1739.668097064059,B00OOFIDHY,Innisfree,Skin Care, [Innisfree] Soybean Energy Essence Light 150ml ,3089.0
2017-02-15,4,1378.465893299329,B00OOFIDHY,Innisfree,Skin Care, [Innisfree] Soybean Energy Essence Light 150ml ,3089.0
2016-11-09,5,13501.300406719372,B01N9K8CCZ,Leaders Insolution,Skin Care, [Leaders Insolution] Brightening Recovery Mask 10Pk ,8458.0
2016-11-16,5,13123.943220463367,B01N9K8CCZ,Leaders Insolution,Skin Care, [Leaders Insolution] Brightening Recovery Mask 10Pk ,8458.0
2016-11-23,5,12591.672182287351,B01N9K8CCZ,Leaders Insolution,Skin Care, [Leaders Insolution] Brightening Recovery Mask 10Pk ,8458.0
2016-11-30,5,13752.021702540726,B01N9K8CCZ,Leaders Insolution,Skin Care, [Leaders Insolution] Brightening Recovery Mask 10Pk ,8458.0
2016-12-07,5,17058.323497083835,B01N9K8CCZ,Leaders Insolution,Skin Care, [Leaders Insolution] Brightening Recovery Mask 10Pk ,8458.0
2016-12-14,5,20434.6901569201,B01N9K8CCZ,Leaders Insolution,Skin Care, [Leaders Insolution] Brightening Recovery Mask 10Pk ,8458.0
2016-12-21,5,20884.033434066016,B01N9K8CCZ,Leaders Insolution,Skin Care, [Leaders Insolution] Brightening Recovery Mask 10Pk ,8458.0
2016-12-28,5,17394.541908488765,B01N9K8CCZ,Leaders Insolution,Skin Care, [Leaders Insolution] Brightening Recovery Mask 10Pk ,8458.0
2017-01-04,5,12098.161996270555,B01N9K8CCZ,Leaders Insolution,Skin Care, [Leaders Insolution] Brightening Recovery Mask 10Pk ,8458.0
2017-01-11,5,8410.001799003798,B01N9K8CCZ,Leaders Insolution,Skin Care, [Leaders Insolution] Brightening Recovery Mask 10Pk ,8458.0
2017-01-18,5,8069.001727106115,B01N9K8CCZ,Leaders Insolution,Skin Care, [Leaders Insolution] Brightening Recovery Mask 10Pk ,8458.0
2017-01-25,5,10033.50993381384,B01N9K8CCZ,Leaders Insolution,Skin Care, [Leaders Insolution] Brightening Recovery Mask 10Pk ,8458.0
